id,phonikud,phonikud_enhanced,saspeech-nakdimon,mms-nakdimon
llm1_1,1,0,0,2
llm1_2,0,0,0,2
llm1_3,1,1,0,1
llm1_4,1,1,0,1
llm1_5,0,0,0,1
llm1_6,2,0,0,1
llm1_7,0,0,0,0
llm1_8,2,0,0,1
llm1_9,1,1,1,1
llm1_10,0,0,0,0
llm1_11,1,0,0,0
llm1_12,0,0,0,0
llm1_13,0,0,0,0
llm1_14,0,0,0,0
llm1_15,0,0,0,0
llm1_16,1,2,1,2
llm1_17,0,0,0,0
llm1_18,0,1,0,0
llm1_19,0,0,0,1
llm1_20,0,0,0,1
llm1_21,1,0,0,1
llm1_22,1,0,0,1
llm1_23,2,1,3,4
llm1_24,2,1,1,1
llm1_25,1,0,0,2
llm1_26,1,1,0,1
llm1_27,1,0,0,1
llm1_28,0,1,0,1
llm1_29,1,0,0,0
llm1_30,1,0,1,1
llm1_31,1,0,0,1
llm1_32,2,1,2,1
llm1_33,1,0,0,0
llm1_34,2,1,1,2
llm1_35,2,0,1,1
llm1_36,1,0,1,1
llm1_37,1,0,0,1
llm1_38,1,1,0,1
llm1_39,1,0,0,0
llm1_40,1,0,0,0
llm1_41,1,0,0,0
llm1_42,1,0,0,0
llm1_43,1,0,1,2
llm1_44,1,0,0,0
llm1_45,1,0,0,0
llm1_46,2,0,1,1
llm1_47,1,0,0,0
llm1_48,1,0,1,0
llm1_49,1,0,1,1
llm1_50,1,0,1,0
llm1_51,2,0,0,0
llm1_52,1,1,1,0
llm1_53,1,0,1,1
llm1_54,1,0,0,1
llm1_55,1,0,1,0
llm1_56,1,0,1,2
llm1_57,0,0,1,0
llm1_58,1,0,0,1
llm1_59,1,1,0,1
llm1_60,1,1,0,1
llm1_61,1,0,0,0
llm1_62,2,0,1,0
llm1_63,0,0,0,1
llm1_64,1,1,0,1
llm1_65,0,0,0,0
llm1_66,1,0,0,1
llm1_67,0,0,1,1
llm1_68,0,0,0,0
llm1_69,0,0,0,1
llm1_70,0,0,0,0
llm1_71,0,0,0,0
llm1_72,0,0,0,1
llm1_73,0,0,0,0
llm1_74,1,0,0,0
llm1_75,0,0,0,0
llm1_76,0,0,0,1
llm1_77,0,1,0,1
llm1_78,0,1,0,1
llm1_79,0,1,0,0
llm1_80,0,0,1,0
llm1_81,1,1,1,1
llm1_82,1,1,1,1
llm1_83,1,1,1,1
llm1_84,1,1,1,1
llm1_85,1,1,1,1
llm1_86,1,1,1,1
llm1_87,1,1,1,1
llm1_88,1,1,1,1
llm1_89,1,1,1,1
llm1_90,1,1,1,1
llm1_91,0,0,0,0
llm1_92,0,0,0,0
llm1_93,2,0,0,0
llm1_94,0,0,0,3
llm1_95,0,1,0,1
llm1_96,0,0,0,0
llm1_97,0,0,0,0
llm1_98,0,0,0,0
llm1_99,0,0,0,0
llm1_100,0,0,0,0
llm1_101,1,1,0,0
llm1_102,2,1,1,1
llm1_103,2,1,1,1
llm1_104,2,2,2,2
llm1_105,1,0,0,0
llm1_106,0,1,0,0
llm1_107,2,0,0,1
llm1_108,1,1,0,1
llm1_109,1,0,1,1
llm1_110,2,2,0,0
llm1_111,0,0,0,0
llm1_112,0,0,0,0
llm1_113,1,0,1,0
llm1_114,0,0,0,2
llm1_115,0,0,0,0
llm1_116,0,0,0,0
llm1_117,1,1,0,0
llm1_118,1,0,0,1
llm1_119,0,0,0,1
llm1_120,1,0,0,1
llm1_121,1,1,1,1
llm1_122,2,0,1,1
llm1_123,1,0,1,2
llm1_124,1,0,0,1
llm1_125,0,0,0,1
llm1_126,0,0,0,2
llm1_127,1,0,0,1
llm1_128,1,0,0,1
llm1_129,1,1,0,1
llm1_130,0,0,1,1
llm1_131,0,0,0,0
llm1_132,0,0,1,0
llm1_133,1,0,1,0
llm1_134,0,0,0,0
llm1_135,0,0,1,0
llm1_136,1,0,1,1
llm1_137,0,0,0,0
llm1_138,0,0,0,0
llm1_139,0,0,1,0
llm1_140,1,0,0,0
llm1_141,1,0,0,0
llm1_142,1,0,0,1
llm1_143,1,0,0,1
llm1_144,1,0,0,0
llm1_145,1,0,0,1
llm1_146,0,0,0,1
llm1_147,1,0,0,1
llm1_148,1,0,0,1
llm1_149,1,0,0,1
llm1_150,1,0,0,0
llm1_151,1,0,1,1
llm1_152,0,0,0,0
llm1_153,1,0,0,1
llm1_154,0,0,0,1
llm1_155,1,0,0,1
llm1_156,0,0,0,1
llm1_157,0,0,1,1
llm1_158,0,0,0,1
llm1_159,1,0,0,1
llm1_160,1,0,1,1
llm1_161,1,0,0,0
llm1_162,0,0,0,0
llm1_163,0,0,0,0
llm1_164,0,0,0,0
llm1_165,0,0,0,0
llm1_166,0,0,0,0
llm1_167,1,0,0,1
llm1_168,1,0,0,1
llm1_169,0,0,0,0
llm1_170,0,0,0,0
llm1_171,1,0,0,0
llm1_172,0,0,0,0
llm1_173,1,0,1,2
llm1_174,0,0,0,1
llm1_175,0,0,0,1
llm1_176,0,0,0,0
llm1_177,0,0,0,0
llm1_178,0,0,0,0
llm1_179,1,1,1,1
llm1_180,0,1,0,1
llm1_181,1,0,0,1
llm1_182,0,0,1,0
llm1_183,1,0,0,1
llm1_184,1,0,0,1
llm1_185,0,0,0,0
llm1_186,0,0,0,0
llm1_187,0,0,0,1
llm1_188,0,0,0,0
llm1_189,0,0,0,0
llm1_190,0,0,0,0
llm1_191,0,0,0,1
llm1_192,0,0,0,0
llm1_193,1,0,0,1
llm1_194,0,0,0,1
llm1_195,0,0,0,1
llm1_196,0,0,0,1
llm1_197,1,0,0,1
llm1_198,1,0,0,1
llm1_199,1,0,0,1
llm1_200,0,0,0,1
llm1_201,0,1,0,0
llm1_202,0,0,0,0
llm1_203,0,0,1,1
