gold_017_line_048,בְּֽעִיקְּבוֹת הַ|יְּשִׁיבָה הַ|הִיא הֻוחְלַט עַל הֲטָלַת סֶ֫גֶר עַל יִשְׂרָאֵל,beʔikvˈot hajʃivˈa hahˈi huχlˈat ʔˈal hatalˈat sˈeɡeʁ ʔˈal jisʁaʔˈel
gold_000_line_101,אָה זֶה דֵּי מַדְהִים לִרְאוֹת לִרְאוֹת אֶת זֶה לְֽאוֹר יוֹם,ʔˈa zˈe dˈej madhˈim liʁʔˈot liʁʔˈot ʔˈet zˈe leʔˈoʁ jˈom
gold_021_line_040,הוּא אֶחָד מִיִּיזְּמֵי הַ|הַיְיטֵק הַ|וָּותִיקִים שֶׁ|יֵּשׁ לָנוּ,hˈu ʔeχˈad mijizmˈej hahajtˈek havatikˈim ʃejˈeʃ lanˈu
gold_007_line_150,נִמְאַס לִי לַחֲלוּטִין לַעֲמֹוד בַּ|פְּקָקִים נִמְאַס לִי מֵהַ|לַּ֫חַץ נִמְאַס לִי מֵ|חִיפּוּשֵׂי הַ|חֲנָיָיה פָּשׁוּט נִמְאַס לִי,nimʔˈas lˈi laχalutˈin laʔamˈod bapkakˈim nimʔˈas lˈi mehalˈaχats nimʔˈas lˈi meχipusˈej haχanajˈa paʃˈut nimʔˈas lˈi
gold_001_line_348,עוֹד שְׁנִיָּיה יִהְיֶה לָהּ מָקוֹם חָדָשׁ לִקְרֹוא לוֹ בַּ֫יִת,ʔˈod ʃnijˈa jihjˈe lˈa makˈom χadˈaʃ likʁˈo lˈo bˈajit
gold_020_line_002,אוֹקֵיי אָז בּוֹא נֵלֵךְ מֵהַ|קַּל אֶל הַ|כָּבֵד בַּ|חֵ֫לֶק הַ|קַּל עַל אַף שֶׁ|כְּבָר עַכְשָׁיו הַ|טֶּכְנוֹל֫וֹגְיָה מְֽאוֹד מְֽאוֹד מַרְשִׁימָה,ʔokˈej ʔˈaz bˈo nelˈeχ mehakˈal ʔˈel hakavˈed baχˈelek hakˈal ʔˈal ʔˈaf ʃekvˈaʁ ʔaχʃˈav hateχnolˈoɡja meʔˈod meʔˈod maʁʃimˈa
gold_011_line_114,בַּ|מַּעֲרֶ֫כֶת חַיּוֹת כִּיס חֲבֵרוֹת גַּם דָּנָה פְרַנְק וּ|צְלִיל אַבְרָהָם,bamaʔaʁˈeχet χajˈot kˈis χaveʁˈot ɡˈam danˈa fʁˈank ˈutslil ʔavʁahˈam
gold_021_line_014,אוּלַי הוּא יְֽשַׁכְנֵעַ גַּם אֶתְכֶם לְֽהִצְטָרֵף לָ|עִיגּוּל לְֽ|טוֹבָה,ʔulˈaj hˈu jeʃaχneˈa ɡˈam ʔetχˈem lehitstaʁˈef laʔiɡˈul letovˈa
gold_021_line_057,וְֽ|הוּא מְֽשַׁמֵּשׁ בְּֽתוֹר יוֹשֵׁב הָ|רֹאשׁ שֶׁלָּהּ עַד הַיּוֹם,vehˈu meʃamˈeʃ betˈoʁ joʃˈev haʁˈoʃ ʃelˈa ʔˈad hajˈom
gold_002_line_310,פָּשׁוּט כִּי הָ|אִינְפְלַ֫צְיָה כָּאן הִיא עֲדַ֫יִין נְֽמוּכָה בְּֽ|יַ֫חַס לִ|מְדִינוֹת אֲחֵרוֹת,paʃˈut kˈi haʔinflˈatsja kˈan hˈi ʔadˈajin nemuχˈa bejˈaχas limdinˈot ʔaχeʁˈot
